name,position,star_rating,composite_score,committed_school,state
Zane Rowe,DL,4,95.33,Oregon,TX
Jack Brown,TE,4,95.31,Missouri,MO
Aroson Randle Jr.,LB,4,95.3,,NC
Jakari Lipsey,OT,4,95.29,,MI
David Folorunsho,DL,4,95.27,,IL
Danny Lang,CB,4,95.22,USC,CA
Cahron Wheeler,DL,4,95.15,,MD
Jabarrius Garror,EDGE,4,95.11,,AL
Elias Pearl,WR,4,95.07,,FL
Matthew Gregory,WR,4,95.05,,PA
Tavares Harrington,CB,4,95.01,,IL
Kei'Shjuan Telfair,CB,4,95.0,Penn State,OH
Tramond Collins,ATH,4,94.95,Florida,FL
Kelsey Adams,OT,4,94.93,Georgia,GA
Recarder Kitchen,EDGE,4,94.87,Michigan,MI
Rahzario Edwards,TE,4,94.74,,CA
Gideon Gash,ATH,4,94.72,Michigan State,MI
Karon Eugene,S,4,94.68,,LA
Isaac McNeil,LB,4,94.61,,AL
Desmond Malpress,EDGE,4,94.59,,FL
Dewey Young,OT,4,94.59,,MI
Brooks Bakko,TE,4,94.57,,ND
Seth Tillman,DL,4,94.55,,SC
Kamden Lopati,QB,4,94.52,Illinois,UT
Dominic Black,OT,4,94.47,,OH
Karlos May,DL,4,94.46,,AL
Tae Walden Jr.,ATH,4,94.46,,TN
Gary Walker,RB,4,94.45,Clemson,GA
Aidan O'Neil,EDGE,4,94.42,,NJ
Joshua Sam-Epelle,OT,4,94.41,Georgia,GA
Allen Evans,CB,4,94.39,Louisville,KY
Princeton Uwaifo,OT,4,94.37,Tennessee,TN
Kenneth Simon II,LB,4,94.37,,TN
Brayton Feister,ATH,4,94.36,,OH
Kennedee Jackson,OT,4,94.36,,GA
Davion Jones,S,4,94.34,,NC
Jayden Anding,S,4,94.31,,LA
Demare Dezeurn,WR,4,94.26,Oklahoma,CA
Gunner Rivers,QB,4,94.24,NC State,AL
Cameron Hall,EDGE,4,94.19,Texas,TX
Keegan Croucher,QB,4,94.18,Ole Miss,TN
Keldrid Ben,RB,4,94.14,Oklahoma,TX
Antonio Berry,IOL,4,94.1,,MS
James Pace III,EDGE,4,94.08,,MD
David Segarra,RB,4,94.0,,SC
Eli Johnson,S,4,93.98,Ohio State,TX
Roman Igwebuike,LB,4,93.96,,IL
Blake Roskopf,QB,4,93.96,,AZ
Tre Moore,WR,4,93.9,,TX
Krew Jones,EDGE,4,93.89,Oklahoma,UT
Braylon Calais,ATH,4,93.87,,LA
Gavin Williams,S,4,93.86,,CA
Andrew Beard,RB,4,93.85,,GA
Zion White,WR,4,93.82,,FL
Bryce Woods,CB,4,93.81,,GA
Davin Davidson,QB,4,93.8,Florida,FL
Jamarin Simmons,WR,4,93.78,Clemson,FL
Brandon Sherrard,CB,4,93.76,,TX
Elijah Patmon,DL,4,93.74,Texas A&M,GA
Drew Fielder,OT,4,93.71,USC,CA
Kameron Roberson,CB,4,93.67,,TX
Censere Gaylord,CB,4,93.58,,FL
Amare Nugent,CB,4,93.51,Florida,FL
Jaylen Scott,S,4,93.49,Oklahoma,AL
SaRod Baker,RB,4,93.49,,TX
Brayden Booth,EDGE,4,93.49,,TX
Jayce Johnson,QB,4,93.47,Texas A&M,GA
Korz Loken,TE,4,93.4,Wisconsin,WI
Blake Jenkins,CB,4,93.38,,TX
Peyton Miller,IOL,4,93.36,,TX
Ja'Bios Smith,LB,4,93.36,,GA
K'Adrian Redmond,DL,4,93.35,Texas Tech,TX
Jayden Aparicio-Bailey,S,4,93.35,,AL
Israel Hammons,LB,4,93.35,,OK
Andre Adams,QB,4,93.33,,TN
Kaeden Scott,OT,4,93.33,Texas A&M,TX
Jamar Thompson,DL,4,93.32,,FL
Duvay Williams,CB,4,93.32,USC,CA
Brayden Parks,DL,4,93.32,,IL
Mekhi Williams,S,4,93.31,Florida State,FL
Jernard Albright,S,4,93.3,South Carolina,GA
Colton Nussmeier,QB,4,93.28,,TX
Justin Murphy,ATH,4,93.27,,GA
Braylon Pope,WR,4,93.25,Washington,WA
Jerry Outhouse Jr.,CB,4,93.22,Georgia,TX
Monsanna Torbert Jr.,CB,4,93.2,Indiana,OH
Raheem Floyd,CB,4,93.19,,IL
Kingston Allen,RB,4,93.17,Wisconsin,WI
Kharim Hughley,QB,4,93.16,Clemson,GA
Jhadyn Nelson,LB,4,93.12,Texas Tech,TX
Sean Tatum,IOL,4,93.09,Miami,FL
Alvin Mosley,WR,4,93.09,,TX
Brady Edmunds,QB,4,93.04,Ohio State,CA
Nigel Newkirk,RB,4,93.03,,GA
Zayden Gamble,S,4,93.01,Notre Dame,FL
CaDarius McMiller,RB,4,93.0,Oregon,TX
Aamaury Fountain,CB,4,92.94,South Carolina,GA
Cole Reiter,OT,4,92.93,Wisconsin,WI
Joakim Gouda,LB,4,92.88,,GA
Tyson Robinson,RB,4,92.87,,MS
Tyler Fryman,WR,4,92.86,,KY
Eli Woodard,WR,4,92.85,USC,CA
Brian Swanson,OT,4,92.83,,TX
Noah Glover,LB,4,92.78,Georgia,VA
Caleb Johnson,OT,4,92.77,,IN
Jeremiah Culpepper,LB,4,92.75,,GA
Miguel Whitley,WR,4,92.73,,LA
Stanley Montgomery,DL,4,92.71,Penn State,PA
Jalaythan Mayfield,LB,4,92.71,,NC
Ty Keys,RB,4,92.65,,MS
Kaden McCarty,EDGE,4,92.63,Texas A&M,TX
Wonderful Monds IV,QB,4,92.62,,FL
Derwin Fields,EDGE,4,92.61,,MS
Kyler Kuhn,IOL,4,92.59,,MO
Mikahi Allen,LB,4,92.59,,NJ
Myles Smith,EDGE,4,92.53,,MI
Deshawn Hall,WR,4,92.5,,AL
Luke Starcevic,ATH,4,92.47,,ND
Case Alexander,LB,4,92.46,Penn State,OK
Khalil Terry,S,4,92.44,Notre Dame,CA
Trey Martin,RB,4,92.42,,LA
Joseph Buchanan,DL,4,92.42,,MD
Myles McAfee,WR,4,92.39,,MD
Quinton Cypher,LB,4,92.38,Ohio State,NC
Jackson Roper,IOL,4,92.34,,CO
Kaiden Robinson-Vickers,DL,4,92.34,,FL
Jabari Watkins,WR,4,92.32,,GA
Malik Howard,TE,4,92.25,,TN
Anthony Jennings,WR,4,92.23,,FL
Josiah Molden,CB,4,92.18,,OR
Tevita Nonu,DL,4,92.12,,WA
Marquis Bryant,S,4,92.11,,NC
Nate Carson,OT,4,92.11,,SC
Frederrick Ford,LB,4,92.06,,MS
Bryce Williams,CB,4,92.04,,FL
Cameron Pritchett,EDGE,4,92.02,Oregon,AL
Joshua Vilmael,CB,4,92.01,,TX
Isaiah Rogers,RB,4,92.01,Notre Dame,MA
Taelyn Mayo,CB,4,91.98,,TX
Chris Wilson,EDGE,4,91.97,,IN
Ezekiel Ayangbile,DL,4,91.97,,TX
Trey Haralson,WR,4,91.96,,TX
George Lamons Jr.,TE,4,91.95,Auburn,GA
Trenton Yancey,WR,4,91.94,,TX
Kalel Johnson,OT,4,91.94,Ohio State,OH
Montre Jackson,CB,4,91.94,,TX
Jordan Karhoff,TE,4,91.93,,OH
Jailen Hill,S,4,91.92,,CA
Nico Bland,WR,4,91.91,Arizona State,CA
Quinterrius Gipson,RB,4,91.87,,GA
Lawrence Britt,ATH,4,91.85,,TN
Brandon Lockley,LB,4,91.84,,PA
Alifeleti Tuihalamaka,DL,4,91.78,,CA
Amare Patterson,WR,4,91.77,,SC
Eli Diane,DL,4,91.77,Minnesota,MN
Troy Bowens,DL,4,91.76,California,CA
DeMarrion Johnson,OT,4,91.73,Texas A&M,TX
Adryan Cole,S,4,91.71,,GA
Cooper Terwilliger,TE,4,91.71,Penn State,SD
Jack Sorgi,QB,4,91.69,Wisconsin,IN
Qua Ford,IOL,4,91.68,,TX
Junior Tu'upo,S,4,91.67,,AL
Myles Baker,S,4,91.67,California,CA
Daniel Yebit,CB,4,91.61,,OK
Elija Harmon,DL,4,91.61,Oklahoma,CA
Joshua Banks,CB,4,91.59,,TX
Trent Seaborn,QB,4,91.55,Alabama,AL
Terrance Smith,IOL,4,91.49,,PA
Jon Ioane,ATH,4,91.43,Washington,CA
Noah Roberts,RB,4,91.4,,AZ
Malachi Brown,DL,4,91.36,,KY
Nate Kamba,DL,4,91.34,,NC
Elijah Brown,DL,4,91.31,,AL
Kaleb Elkins,S,4,91.27,,IN
Clarence Johnson Jr.,EDGE,4,91.21,,MN
Grant Haviland,TE,4,91.19,,GA
Jaiden Kelly-Murray,WR,4,91.17,South Carolina,SC
Jayce Brewer,EDGE,4,91.16,,IN
Darius Johnson,CB,4,91.15,,CA
Isaiah Bertola,OT,4,91.14,,HI
D'Angelo White,TE,4,91.14,Louisville,OH
Dontay Tyson,WR,4,91.13,,AZ
Sean Fox,LB,4,91.13,,IN
Justin Weeks,DL,4,91.12,,GA
Adekunbi Adetayo,EDGE,4,91.06,,NJ
Timi Aliu,OT,4,91.05,,GA
Santana Harvey,DL,4,91.02,,FL
Q'Mari Hudson,OT,4,91.02,,VA
Mikhail McCreary,CB,4,91.02,Oklahoma,TX
Jamison Roberts,QB,4,91.02,Oklahoma,AL
Ethan Kimmie,WR,4,91.01,,LA
Brody McNeel,OT,4,90.99,Ohio State,VA
Antonio Keefer,OT,4,90.96,,TN
Colt Lumpris,TE,4,90.96,Alabama,NJ
Nehemiah Ombati,DL,4,90.95,,MN
Malachi Zeigler,QB,4,90.93,SMU,LA
Amarri Irvin,LB,4,90.92,Notre Dame,FL
Mason McDermott,OT,4,90.92,,IN
Damani Warren,WR,4,90.91,,NV
Colton McKibben,LB,4,90.9,UCLA,NM
Lathan Whisenton,RB,4,90.89,Notre Dame,TX
Landon Blum,TE,4,90.88,Penn State,IA
Gus Corsair,IOL,4,90.88,,KS
Kennedy Green,S,4,90.85,,GA
Reinaldo Perez,DL,4,90.84,,OH
Gabe Jenkins,S,4,90.83,Penn State,PA
Emerson Lewis,CB,4,90.82,,GA
Christian Alexander,RB,4,90.81,,MS
Jimmy Kalis,OT,4,90.8,,PA
Jeremiah Williams,DL,4,90.77,,CA
Jarrell Chandler,S,4,90.76,,TN
Elijah Kimble,RB,4,90.73,,NY
Blake Wong,WR,4,90.65,,CA
Jamarkus Pittman,DL,4,90.64,Ole Miss,TN
Ifeanyi Emedobi,EDGE,4,90.61,,IN
Kingston Miles,RB,4,90.6,,MO
Jaden Walk-Green,S,4,90.57,,CA
Chuck Alexander,WR,4,90.57,Louisville,OH
Cameron Wagner,OT,4,90.57,,IL
Julian Reese II,ATH,4,90.52,,TX
Jordan Haskins,S,4,90.5,Louisville,KY
Jaylyn Jones,S,4,90.5,Miami,FL
Aiden Gibson,RB,4,90.46,,SC
Niko Kampas,OT,4,90.46,,EN
Sean Green,WR,4,90.43,,GA
Larry Moon III,S,4,90.42,,FL
Kadin Fife,DL,4,90.4,Tennessee,GA
Caden Waye,RB,4,90.38,,GA
Tristin Hughes,ATH,4,90.37,Virginia Tech,OH
Rion Jackson,EDGE,4,90.36,,MD
Dolph McDonald,CB,4,90.36,,MS
Karece Hoyt,ATH,4,90.34,Baylor,TX
Chase Johnson,CB,4,90.34,,GA
Kenaz Sullivan,S,4,90.32,,VA
Anthony Cavallaro,EDGE,4,90.32,Florida State,FL
Javian Jones-Priest,RB,4,90.32,,TX
Brayden Tyson,ATH,4,90.31,,GA
Cooper Ohnmacht,ATH,4,90.28,Penn State,KS
Victor Scott,RB,4,90.27,,TX
Ty Johnson,WR,4,90.25,,CA
Cole Crawford,LB,4,90.24,,GA
Junior Saunders,OT,4,90.24,Virginia Tech,VA
Cade Cooper,WR,4,90.24,,PA
Chris Harris Jr.,ATH,4,90.24,Missouri,MO
Maleek Lee,DL,4,90.23,,FL
Jaden Carey,CB,4,90.22,,FL
Trey Wimbley,WR,4,90.22,Clemson,SC
Li'Marcus Jones,OT,4,90.2,,TN
Demarcus Deroche,ATH,4,90.19,Miami,FL
Drake Mikkelsen,TE,4,90.19,,SD
Iveon Lewis,WR,4,90.17,,VA
Justin Johnson,ATH,4,90.17,Illinois,IL
Jai Jones,WR,4,90.12,,AZ
Tyler Alexander,DL,4,90.1,,FL
Keysan Taylor,EDGE,4,90.09,,IL
Tranard Roberts,RB,4,90.08,,FL
Ellis McGaskin,LB,4,90.07,,AL
Zac Fares,TE,4,90.06,,NV
Charles Davis,TE,4,90.04,,CA
Ah'Mari Stevens,WR,4,90.02,Miami,FL
Lincoln Mageo,IOL,4,90.02,,CA
Cam Wade,WR,4,90.02,,KY
Isala Aisa Wily-Ava,S,4,90.01,,CA
Pole Moala,S,4,90.0,,CA
Antwan Jackson,EDGE,4,89.99,Alabama,TN
Gecova Doyal,IOL,4,89.96,,WA
Khing Thibodeaux,DL,4,89.94,,TX
Hunter Mallinger,IOL,4,89.85,Wisconsin,WI
Mason Oglesby,TE,4,89.83,Indiana,IN
Adriel Rojas,EDGE,4,89.82,,GA
Reed Ramsier,IOL,4,89.82,,FL
Titus Hawk,TE,4,89.81,,OK
Carter Bonner,ATH,4,89.8,,MD
Sione Kaho,QB,4,89.79,,WA
Tate Wallace,LB,4,89.78,,IA
Anthony Cartwright,TE,4,89.77,,MI
Jeremy Adeyanju,RB,4,89.75,Washington,AZ
Dhillon McGee,CB,4,89.71,,TX
DeMarco Jenkins,DL,4,89.7,,TX
Sidney Rouleau,OT,4,89.67,Michigan,TX
Miles Brown,CB,4,89.67,,TN
Amir Brown,RB,4,89.66,Nebraska,NC
Braden Gordon,ATH,4,89.66,,AL
Jayshon Gibson,RB,4,89.65,,TX
Deontay Malone,ATH,4,89.62,,OH
Richie Flanigan,DL,4,89.59,Notre Dame,WI
Marvin Nguetsop,DL,4,89.58,,CT
Kingston Celifie,ATH,4,89.58,,CA
Jaden Bayonne,DL,4,89.55,,LA
Antwoine Higgins,LB,4,89.53,,OH
Ben Kolar,TE,4,89.51,,OK
Jayden Miles,RB,4,89.5,,LA
Malakai Taufoou,S,4,89.5,,CA
Gavin Stecker,LB,4,89.5,Iowa,IA
Sam Faniel,TE,4,89.5,,VA
Cristian Mbamarah,CB,4,89.5,,CO
Zahmar Tookes,DL,4,89.5,,NY
Da'Jon Talley-Rhodes,RB,4,89.5,,DC
Miller Westerfield,OT,4,89.5,,GA
Jasper Ngokwere,OT,4,89.4,,TX
Gregory Batson,LB,4,89.39,Florida State,GA
Luke Babin,QB,4,89.36,Baylor,TX
Jakoby Dixon,RB,4,89.29,,TX
Drake Carroll,EDGE,4,89.27,TCU,TX
Max Patterson,TE,4,89.23,,GA
Trae'kerrion Collins,S,4,89.22,Ole Miss,MS
Kevin Verpaele,QB,4,89.22,Pittsburgh,FL
Ba'Roc Willis,LB,4,89.21,,AL
Davis Seaman,IOL,4,89.18,Ohio State,OH
Dane Weber,QB,4,89.17,,CA
Theo Wilson,LB,4,89.15,,FL
Ja'Hyde Brown,WR,4,89.15,Louisville,KY
Darrell Mattison,S,4,89.14,Michigan,IL
Will Slagle,IOL,4,89.11,Penn State,IA
Carter Jones,IOL,4,89.11,Clemson,VA
Chaz Gray,EDGE,4,89.09,,NJ
Anthony Roberts,WR,4,89.07,,NC
Evan Mack,CB,4,89.02,,CA
