player_id,player_name,position,team,cfo_valuation,on3_valuation,ratio,confidence,suggested_value,action_taken
3bab6c69-4632-46fe-a199-62c132ed0949,Avieon Terrell,CB,Clemson,905624,,,LOW,,
a13f737d-c1f6-41f5-ba77-7c9bccd857f0,Kadyn Proctor,OL,Alabama,892687,,,LOW,,
011704ee-053c-4bf1-b563-08f45a9217f6,Kayden McDonald,DL,Ohio State,869399,,,LOW,,
15654835-3c8f-4b39-88a1-d44a77b64d74,Dillon Thieneman,DB,Oregon,869399,,,LOW,,
db63d089-bf36-4d50-879f-be07ade08055,Kamran James,EDGE,Florida,845027,,,LOW,,
0197a048-72c4-4298-ac6b-edf885eda468,Braylan Shelby,DE,USC,834798,,,LOW,,
bb380090-662a-4cb9-86aa-aee40877c7d3,Peter Woods,DT,Clemson,827999,,,LOW,,
1c4b2918-d5d4-4622-b55e-7e5d417ed36b,Zachariah Branch,WR,Georgia,827999,,,LOW,,
715b41dc-2fa4-49e7-886d-04b29b9582ca,Will Heldt,DE,Clemson,808074,,,LOW,,
e9856fbe-48a9-424c-9c72-f3f699f07d0e,Kenyon Sadiq,TE,Oregon,796949,,,LOW,,
ffb87126-74f1-4254-a188-3c6d87a4958f,Ryan Wingo,WR,Texas,778885,,,LOW,,
e4a05e2b-13c2-4fc0-bb5e-242c82421734,Deion Burks,WR,Oklahoma,760320,,,LOW,,
3a3c8827-ca00-4705-8314-4f009a198f42,Weston Davis,OT,LSU,727551,,,LOW,,
c76280aa-7b75-4060-bc97-af473b308b5e,Dayon Hayes,DE,Tennessee,720000,,,LOW,,
3b67f56b-4f22-4494-bb3b-c408288930b5,Ethan Onianwa,OT,Ohio State,716549,,,LOW,,
01651bab-4b6c-46c4-85db-22627a05982b,CJ Allen,LB,Georgia,693000,,,LOW,,
eacbf9cd-d10b-41cb-b516-35c3962a0835,Zavion Thomas,WR,LSU,691200,,,LOW,,
0837a361-c85e-45d1-8e6f-9ab3f13834cf,Jermaine Mathews Jr.,CB,Ohio State,665571,,,LOW,,
e38c2a04-57b0-4022-8abd-4bed39d6d261,Chase Bisontis,OL,Tennessee,646875,,,LOW,,
92d57c84-4812-49a2-b361-8534e9b151c9,T.J. Moore,WR,Clemson,637176,,,LOW,,
5a6cbfc2-3247-4c80-a41a-137e1796cedd,Jide Abasiri,DT,USC,635584,,,LOW,,
22d2c818-e380-43c1-8a5c-5f172fa7200f,Malachi Fields,WR,Notre Dame,633600,,,LOW,,
17aa537d-98bd-49f9-820f-044109e39b70,Keionte Scott,DB,Miami,630000,,,LOW,,
994d53b9-4d6a-4527-924f-9e885b673ba8,DJ Campbell,OL,Texas,620999,,,LOW,,
12afe8f7-c455-483e-b08d-2e0a59a06877,Jonah Coleman,RB,Washington,617760,,,LOW,,
235a7baa-4189-477d-b5e0-f94131f48fe6,Malachi Toney,WR,Miami,616392,,,LOW,,
2ea06c37-2608-4ae1-bc9c-7d8e42fd757e,Julian Lewis,QB,,252000,,,LOW,,
